Order ID,Ship Mode,Ship Date,Order Date,Region,Estimated Delivery Date,Actual Delivery Date,Order Status,Duration (Days),Late (Days)
CA-2016-152156,Second Class,11/11/16,11/8/16,South,11/14/16,11/14/16,On-Time,6,0
CA-2016-138688,Second Class,6/16/16,6/12/16,West,6/21/16,6/21/16,On-Time,9,0
US-2015-108966,Standard Class,10/18/15,10/11/15,South,10/21/15,10/21/15,On-Time,10,0
CA-2014-115812,Standard Class,6/14/14,6/9/14,West,6/16/14,6/14/14,Early,5,0
CA-2017-114412,Standard Class,4/20/17,4/15/17,South,4/23/17,4/23/17,On-Time,8,0
CA-2016-161389,Standard Class,12/10/16,12/5/16,West,12/12/16,12/12/16,On-Time,7,0
US-2015-118983,Standard Class,11/26/15,11/22/15,Central,11/30/15,11/28/15,Early,6,0
CA-2014-105893,Standard Class,11/18/14,11/11/14,Central,11/20/14,11/18/14,Early,7,0
CA-2014-167164,Second Class,5/15/14,5/13/14,West,5/18/14,5/18/14,On-Time,5,0
CA-2014-143336,Second Class,9/1/14,8/27/14,West,9/3/14,9/3/14,On-Time,7,0
CA-2016-137330,Standard Class,12/13/16,12/9/16,Central,12/16/16,12/22/16,Late,13,6
US-2017-156909,Second Class,7/18/17,7/16/17,East,7/23/17,7/23/17,On-Time,7,0
CA-2015-106320,Standard Class,9/30/15,9/25/15,West,10/4/15,10/4/15,On-Time,9,0
CA-2016-121755,Second Class,1/20/16,1/16/16,West,1/25/16,1/25/16,On-Time,9,0
US-2015-150630,Standard Class,9/21/15,9/17/15,East,9/26/15,9/26/15,On-Time,9,0
CA-2017-107727,Second Class,10/23/17,10/19/17,Central,10/26/17,10/30/17,Late,11,4
CA-2016-117590,First Class,12/10/16,12/8/16,Central,12/13/16,12/11/16,Early,3,0
CA-2015-117415,Standard Class,12/31/15,12/27/15,Central,1/2/16,1/2/16,On-Time,6,0
CA-2017-120999,Standard Class,9/15/17,9/10/17,Central,9/18/17,9/17/17,Early,7,0
CA-2016-101343,Standard Class,7/22/16,7/17/16,West,7/27/16,7/27/16,On-Time,10,0
CA-2017-139619,Standard Class,9/23/17,9/19/17,South,9/27/17,9/27/17,On-Time,8,0
CA-2016-118255,First Class,3/13/16,3/11/16,Central,3/18/16,3/25/16,Late,14,7
CA-2014-146703,Second Class,10/25/14,10/20/14,Central,10/27/14,10/26/14,Early,6,0
CA-2016-169194,Standard Class,6/25/16,6/20/16,East,6/30/16,6/30/16,On-Time,10,0
CA-2015-115742,Standard Class,4/22/15,4/18/15,Central,4/26/15,4/26/15,On-Time,8,0
CA-2016-105816,Standard Class,12/17/16,12/11/16,East,12/19/16,12/19/16,On-Time,8,0
CA-2016-111682,First Class,6/18/16,6/17/16,East,6/20/16,6/20/16,On-Time,3,0
CA-2015-135545,Standard Class,11/30/15,11/24/15,West,12/2/15,12/2/15,On-Time,8,0
US-2015-164175,Standard Class,5/5/15,4/30/15,Central,5/7/15,5/6/15,Early,6,0
CA-2014-106376,Standard Class,12/10/14,12/5/14,West,12/12/14,12/12/14,On-Time,7,0
CA-2016-119823,First Class,6/6/16,6/4/16,South,6/9/16,6/9/16,On-Time,5,0
CA-2016-106075,Standard Class,9/23/16,9/18/16,East,9/28/16,9/27/16,Early,9,0
CA-2017-114440,Second Class,9/17/17,9/14/17,Central,9/22/17,9/22/17,On-Time,8,0
US-2015-134026,Standard Class,5/2/15,4/26/15,South,5/7/15,5/7/15,On-Time,11,0
US-2017-118038,First Class,12/11/17,12/9/17,Central,12/15/17,12/15/17,On-Time,6,0
US-2014-147606,Second Class,12/1/14,11/26/14,Central,12/6/14,12/8/14,Late,12,2
CA-2016-127208,First Class,6/15/16,6/12/16,South,6/20/16,6/25/16,Late,13,5
CA-2014-139451,Standard Class,10/16/14,10/12/14,West,10/20/14,10/20/14,On-Time,8,0
CA-2015-149734,Standard Class,9/8/15,9/3/15,South,9/11/15,9/14/15,Late,11,3
US-2017-119662,First Class,11/16/17,11/13/17,Central,11/20/17,11/20/17,On-Time,7,0
CA-2017-140088,Second Class,5/30/17,5/28/17,South,6/1/17,5/30/17,Early,2,0
CA-2017-155558,Standard Class,11/2/17,10/26/17,Central,11/4/17,11/3/17,Early,8,0
CA-2016-159695,Second Class,4/10/16,4/5/16,Central,4/13/16,4/13/16,On-Time,8,0
CA-2016-109806,Standard Class,9/22/16,9/17/16,West,9/26/16,9/26/16,On-Time,9,0
CA-2015-149587,Second Class,2/5/15,1/31/15,Central,2/8/15,2/8/15,On-Time,8,0
US-2017-109484,Standard Class,11/12/17,11/6/17,West,11/15/17,11/15/17,On-Time,9,0
CA-2017-161018,Second Class,11/11/17,11/9/17,East,11/13/17,11/11/17,Early,2,0
CA-2017-157833,First Class,6/20/17,6/17/17,West,6/23/17,6/23/17,On-Time,6,0
CA-2016-149223,Standard Class,9/11/16,9/6/16,Central,9/16/16,9/16/16,On-Time,10,0
CA-2016-158568,Standard Class,9/2/16,8/29/16,Central,9/5/16,9/10/16,Late,12,5
CA-2016-129903,Second Class,12/4/16,12/1/16,Central,12/9/16,12/16/16,Late,15,7
US-2015-156867,Standard Class,11/17/15,11/13/15,West,11/22/15,11/24/15,Late,11,2
CA-2017-119004,Standard Class,11/28/17,11/23/17,South,12/2/17,12/2/17,On-Time,9,0
CA-2015-129476,Standard Class,10/20/15,10/15/15,Central,10/24/15,10/24/15,On-Time,9,0
CA-2017-146780,Standard Class,12/30/17,12/25/17,East,1/3/18,1/3/18,On-Time,9,0
CA-2016-128867,Standard Class,11/10/16,11/3/16,Central,11/15/16,11/15/16,On-Time,12,0
CA-2014-115259,Second Class,8/27/14,8/25/14,East,8/30/14,8/30/14,On-Time,5,0
CA-2015-110457,Standard Class,3/6/15,3/2/15,West,3/8/15,3/8/15,On-Time,6,0
US-2015-136476,Standard Class,4/10/15,4/5/15,South,4/12/15,4/12/15,On-Time,7,0
CA-2016-103730,First Class,6/15/16,6/12/16,East,6/17/16,6/17/16,On-Time,5,0
US-2014-152030,Second Class,12/28/14,12/26/14,Central,12/31/14,12/31/14,On-Time,5,0
US-2014-134614,Standard Class,9/25/14,9/20/14,Central,9/30/14,9/30/14,On-Time,10,0
US-2017-107272,Standard Class,11/12/17,11/5/17,West,11/15/17,11/14/17,Early,9,0
US-2016-125969,Second Class,11/10/16,11/6/16,West,11/12/16,11/12/16,On-Time,6,0
US-2017-164147,First Class,2/5/17,2/2/17,East,2/10/17,2/15/17,Late,13,5
CA-2016-145583,Standard Class,10/19/16,10/13/16,West,10/23/16,10/27/16,Late,14,4
CA-2016-110366,Second Class,9/7/16,9/5/16,East,9/12/16,9/11/16,Early,6,0
CA-2017-106180,Standard Class,9/23/17,9/18/17,West,9/26/17,9/26/17,On-Time,8,0
CA-2017-155376,Standard Class,12/27/17,12/22/17,Central,1/1/18,1/1/18,On-Time,10,0
CA-2015-110744,Standard Class,9/12/15,9/7/15,West,9/15/15,9/15/15,On-Time,8,0
CA-2014-110072,Standard Class,10/28/14,10/22/14,East,10/31/14,10/31/14,On-Time,9,0
CA-2016-114489,Standard Class,12/9/16,12/5/16,Central,12/14/16,12/14/16,On-Time,9,0
CA-2016-158834,First Class,3/16/16,3/13/16,West,3/19/16,3/19/16,On-Time,6,0
CA-2015-124919,First Class,6/2/15,5/31/15,West,6/4/15,6/10/15,Late,10,6
CA-2015-118948,Standard Class,6/3/15,5/28/15,West,6/6/15,6/13/15,Late,16,7
